name,url
Red Chile,https://redchile.org/#!/nodos
RCDR,https://www.rcdr.cl/nodosactivos/
Red Echolink Zello,https://www.redecholinkzello.cl/nuestros-nodos
Conferencia Sur,https://conferenciasur.cl/#nodos
