signal,nombre,comuna,ubicacion,lat,lon,potencia,ganancia,banda,rx,tx,tono,region,otorga,vence,isEcholink,conference,isDMR,isAir,color,slot,tg,website
CE1RCD RPR-B,AGRUPACION CULTURAL RADIO CLUB CALDERA,CALDERA,CERRO MORRO BALLENA,-27.2258333333,-70.5591666667,5,6.5,VHF/FM,147.030,147.630,82.5,REGIÓN DE ATACAMA,05-06-2024,24-11-2028,,,,,,,,
CE1RCD RPT-A,AGRUPACION CULTURAL RADIO CLUB CALDERA,CALDERA,CERRO MORRO BALLENA,-27.6272222222,-70.1072222222,5,6.5,VHF/FM,146.730,146.130,82.5,REGIÓN DE ATACAMA,05-06-2024,24-11-2028,,,,,,,,
CE4SC RPT-A,AGRUPACION DE RADIOAFICIONADOS DE SANTA CRUZ,SANTA CRUZ,CERRO NERQUIHUE,-34.6375,-71.5433333333,10,4,UHF/FM,433.525,438.525,82.5,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,11-02-2025,11-02-2030,,,,,,,,
CE4SC RPT-B,AGRUPACION DE RADIOAFICIONADOS DE SANTA CRUZ,SANTA CRUZ,CERRO CAÑETEN,-34.5575,-71.5294444444,10,4,VHF/FM,146.640,146.040,136.5,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,13-06-2025,13-06-2030,,,,,,,,
CE6SOS RPT-A,AGRUPACION SOCIAL CULTURAL Y DEPORTIVA RADIO CLUB AMIGOS EN LA EMERGENCIA,OSORNO,LOS TINQUES 683,-40.5855555556,-73.1394444444,20,6,VHF/FM,146.650,146.050,,REGIÓN DE LOS LAGOS,31-03-2022,03-02-2027,,,,,,,,
CE6CYE RPT-A,AGRUPACION SOCIAL Y CULTURAL RADIO CLUB OSORNO,OSORNO,PILAUCO,-40.5641666667,-73.1186111111,25,6,VHF/FM,147.300,147.900,88.5,REGIÓN DE LOS LAGOS,31-01-2022,31-01-2027,,,,,,,,
CE2 RQ RPT-A,ASOCIACION CLUB DE RADIOAFICIONADOS DE EL QUISCO,EL QUISCO,3 ORIENTE ESQUINA 3 SUR,-33.4113888889,-71.6819444444,5,3,VHF/FM,146.940,146.340,67,REGIÓN DE VALPARAÍSO,07-03-2024,23-03-2027,,,,,,,,
CE7DE RPT-B,ASOCIACION CLUB DE RADIOAFICIONADOS EL TRAUKO,CASTRO,LLICALDAD,-42.4944444444,-73.8466666667,30,7,VHF/FM,146.730,146.130,107.2,REGIÓN DE LOS LAGOS,23-04-2024,16-10-2028,,,,,,,,
CE7DE RPT-A,ASOCIACION CLUB DE RADIOAFICIONADOS EL TRAUKO,DALCAHUE,TENAUN DALCAHUE,-42.3230555556,-73.3708333333,30,7,VHF/FM,147.180,147.780,107.2,REGIÓN DE LOS LAGOS,14-03-2024,16-10-2028,,,,,,,,
CE4CU RPT-A,ASOCIACIÓN RADIO CLUB PROVINCIAL CURICÓ,ROMERAL,"AVENIDA RAMÓN FREIRE 2562, LOS QUEÑES, COMUNA ROMERAL",-35.9622222222,-71.5219444444,25,7,VHF/FM,147.390,147.990,107.2,REGIÓN DEL MAULE,15-07-2025,15-07-2030,,,,,,,,
CE2RVE RPT-A,CENTRO CULTURAL RADIO CLUB PROVINCIA DE MARGA MARGA,QUILPUÉ,SAMUEL VALENCIA 50,-33.0508333333,-71.4513888889,10,6.7,VHF/FM,146.650,146.050,67,REGIÓN DE VALPARAÍSO,29-12-2023,26-04-2028,,,,,,,,
CE3CDT RPT-A,CIRCULO DE RADIAFICIONADOS ESCUELA DE TELECOMUNICACIONES,PEÑALOLÉN,AVDA. LAS PERDICES N° 700,-33.4619444444,-70.5219444444,10,7,VHF/FM,147.120,147.720,114.8,REGIÓN METROPOLITANA DE SANTIAGO,23-03-2022,23-03-2027,,,,,,,,
CE5NCR RPT-B,CIRCULO DE RADIOAFICIONADOS CORDILLERA DE NAHUELBUTA,CAÑETE,PREDIO QUELEN-QUELEN,-37.7531805556,-73.3611666667,25,6,VHF/FM,146.745,146.145,100,REGIÓN DEL BIOBÍO,03-08-2023,12-07-2028,,,,,,,,
CE5NCR RPT-A,CIRCULO DE RADIOAFICIONADOS CORDILLERA DE NAHUELBUTA,CAÑETE,AVENIDA PRESIDENTE FREI 1191,-37.7891666667,-73.3888888889,25,6,VHF/FM,146.220,146.820,100,REGIÓN DEL BIOBÍO,03-08-2023,12-07-2028,,,,,,,,
CE2RGM RPT-D,CIRCULO DE RADIOAFICIONADOS GABRIELA MISTRAL,COQUIMBO,CERRO LA VIRGEN,-29.9575805556,-71.2652222222,25,6.5,UHF/FM,433.800,438.800,88.5,REGIÓN DE COQUIMBO,11-05-2023,26-04-2028,,,,,,,,
CE2RGM RPT-A,CIRCULO DE RADIOAFICIONADOS GABRIELA MISTRAL,COQUIMBO,CERRO LA VIRGEN,-29.9909138889,-71.2652222222,40,7.5,VHF/FM,146.940,146.340,88.5,REGIÓN DE COQUIMBO,11-05-2023,26-04-2028,,,,,,,,
CE2RGM RPT-C,CIRCULO DE RADIOAFICIONADOS GABRIELA MISTRAL,PAIHUANO,QUEBRADA PAIHUANO,-30.032575,-70.4685527778,25,6.5,UHF/FM,433.475,438.475,88.5,REGIÓN DE COQUIMBO,11-05-2023,26-04-2028,,,,,,,,
CE2RGM RPT-B,CIRCULO DE RADIOAFICIONADOS GABRIELA MISTRAL,PAIHUANO,QUEBRADA PAIHUANO,-30.032575,-70.4685527778,40,7.5,VHF/FM,147.150,147.750,88.5,REGIÓN DE COQUIMBO,11-05-2023,26-04-2028,,,,,,,,
CE6CRE RPT-B,CIRCULO RED DE EMERGENCIA DE LOS RIOS,VALDIVIA,"HIJUELA 101, PARCELA 10, CASABLANCA, SECTOR CUFEO",-39.9641666667,-73.0466666667,15,3.3,VHF/FM,147.090,147.690,67,REGIÓN DE LOS RÍOS,10-07-2024,05-05-2028,,,,,,,,
CE2SYE RPT-A,CLUB DE RADIOAFICIONADOS LITORAL CENTRAL,SAN ANTONIO,"NÁPOLES 1130, VILLA DEL MAR",-33.5938888889,-71.5944444444,25,7,VHF/FM,146.610,146.010,82.5,REGIÓN DE VALPARAÍSO,23-07-2025,08-07-2030,,,,,,,,
CE6RHC RPT-A,CLUB DE RADIOAFICIONADOS RAHUE,OSORNO,"RUTA U-400, KM.4",-40.5769,-73.1131,40,8,VHF/FM,146.380,146.980,91.5,REGIÓN DE LOS LAGOS,15-09-2023,22-10-2026,,,,,,,,
CE2CQB RPT-C,COQUIMBO RADIO CLUB,COQUIMBO,CERRO MINA DE ORO,-29.9533,-71.3436,10,6,UHF/FM,433.200,438.200,,REGIÓN DE COQUIMBO,02-09-2021,10-06-2026,,,,,,,,
CE2CQB RPT-A,COQUIMBO RADIO CLUB,COQUIMBO,CERRO MINA DE ORO,-29.9533,-71.3436,20,6,VHF/FM,146.640,146.040,,REGIÓN DE COQUIMBO,02-09-2021,02-09-2026,,,,,,,,
CE2VOV RPT-B,RADIO CLUB AMIGOS DE LA COSTA VICTOR ORLANDI VEAS,VALPARAÍSO,CERRO FLORIDA,-33.0671805556,-71.6332888889,10,6,UHF/FM,433.500,438.500,91.5,REGIÓN DE VALPARAÍSO,20-04-2022,20-04-2027,,,,,,,,https://www.radioclubamigosdelacosta.cl/
CE2VOV RPT-A,RADIO CLUB AMIGOS DE LA COSTA VICTOR ORLANDI VEAS,VALPARAÍSO,CERRO FLORIDA,-33.0671805556,-71.6332888889,10,8.3,VHF/FM,146.790,146.190,91.5,REGIÓN DE VALPARAÍSO,20-04-2022,20-04-2027,,,,,,,,https://www.radioclubamigosdelacosta.cl/
CE6USM RPT-A,RADIO CLUB AMIGOS DE RADIO,ANGOL,SECTOR CERRO PELAO,-37.8323805556,-72.8149222222,15,9,VHF/FM,147.030,147.630,151.4,REGIÓN DE LA ARAUCANÍA,02-04-2025,02-04-2030,,,,,,,,
CE7UD RPT-B,RADIO CLUB ANCUD,ANCUD,SECTOR LELBUNCURA,-41.8930555556,-73.8511111111,25,6,VHF/FM,146.610,146.010,88.5,REGIÓN DE LOS LAGOS,02-04-2025,02-04-2030,,,,,,,,
CE7UD RPT-A,RADIO CLUB ANCUD,ANCUD,SECTOR LELBUNCURA,-41.8930555556,-73.8511111111,10,8,UHF/FM,433.400,438.400,67,REGIÓN DE LOS LAGOS,02-04-2025,02-04-2030,,,,,,,,
CE5RCU RPT-C,RADIO CLUB CAÑETE,CAÑETE,HUILLINCO S/N,-37.7531944444,-73.3616611111,10,6,UHF/FM,433.450,438.450,88.5,REGIÓN DEL BIOBÍO,06-03-2024,14-02-2028,,,,,,,,
CE5RCU RPT-A,RADIO CLUB CAÑETE,CAÑETE,PREDIO QUELÉN - QUELÉN,-37.7531805556,-73.3611666667,25,6,VHF/FM,147.900,147.300,,REGIÓN DEL BIOBÍO,16-05-2022,16-05-2027,,,,,,,,
CE5RCU RPT-A,RADIO CLUB CAÑETE,CAÑETE,SAAVEDRA 629,-37.7240444444,-73.2165972222,45,6,VHF/FM,147.300,147.900,88.5,REGIÓN DEL BIOBÍO,07-06-2023,14-02-2028,,,,,,,,
CE5RCU RPT-B,RADIO CLUB CAÑETE,CAÑETE,HUILLINCO S/N,-37.7531944444,-73.3616611111,45,6,VHF/FM,146.610,146.010,88.5,REGIÓN DEL BIOBÍO,06-03-2024,14-02-2028,,,,,,,,
CE3ETE RPT-B,RADIO CLUB CARABINEROS,CURACAVÍ,CERRO BUSTAMANTE,-33.4038888889,-70.9525,10,9,UHF/FM,433.100,438.100,82.5,REGIÓN METROPOLITANA DE SANTIAGO,11-05-2023,16-12-2027,,,,,,,,https://www.ce3ete.cl/
CE3ETE RPT-A,RADIO CLUB CARABINEROS,CURACAVÍ,CERRO BUSTAMANTE,-33.4038888889,-70.9525,10,9,VHF/FM,146.910,146.310,82.5,REGIÓN METROPOLITANA DE SANTIAGO,11-05-2023,16-12-2027,,,,,,,,https://www.ce3ete.cl/
CE6RB  RPT-A,RADIO CLUB CASABLANCA,VALDIVIA,"RUTA T-520 KM 4,5, CAMINO PUBLICO LOS PELLINES, SECTOR CASABLANCA",-39.96435,-73.046575,15,10,VHF/FM,147.030,147.630,67,REGIÓN DE LOS RÍOS,20-11-2024,20-11-2029,,,,,,,,
CE1CA RPT-A,RADIO CLUB CAVANCHA DE IQUIQUE,ALTO HOSPICIO,CERRO TARAPACÁ,-20.3486111111,-70.1147222222,25,7,VHF/FM,146.820,146.220,203.5,REGIÓN DE TARAPACÁ,29-08-2023,29-08-2028,,,,,,,,https://www.ce1rkv.cl/
CE1CA RPT-B,RADIO CLUB CAVANCHA DE IQUIQUE,IQUIQUE,CERRO CARRASCO,-20.925,-70.0736111111,25,7,VHF/FM,147.390,147.990,203.5,REGIÓN DE TARAPACÁ,29-08-2023,29-08-2028,,,,,,,,https://www.ce1rkv.cl/
CE1CA RPT-C,RADIO CLUB CAVANCHA DE IQUIQUE,HUARA,CERRO MAMIÑA,-19.65,-69.1833333333,25,7,VHF/FM,147.390,147.990,203.5,REGIÓN DE TARAPACÁ,07-09-2023,29-08-2028,,,,,,,,https://www.ce1rkv.cl/
CE3RRM RPT-A,RADIO CLUB COLINA,COLINA,CERRO TRES OREJAS LOCALIDAD QUILAPILUN,-33.0765027778,-70.6737,10,3,VHF/FM,146.730,146.130,71.9,REGIÓN METROPOLITANA DE SANTIAGO,20-08-2021,04-03-2026,,,,,,,,
CE3RRM RPT-B,RADIO CLUB COLINA,COLINA,"CERRO TRES OREJAS, QUILAPILUN ALTO",-33.0780555556,-70.6736111111,10,5,UHF/FM,433.175,438.175,71.9,REGIÓN METROPOLITANA DE SANTIAGO,20-07-2021,20-07-2026,,,,,,,,
CE5REN RPT-A,RADIO CLUB CONDORES ANDINOS,LOS ÁNGELES,"EDIFICIO GOBERNACIÓN, CAUPOLICÁN N° 400",-37.7513888889,-72.5897222222,20,7,VHF/FM,147.375,147.975,141.3,REGIÓN DEL BIOBÍO,03-02-2022,16-12-2026,,,,,,,,
CE4CC RPT-A,RADIO CLUB CONSTITUCION,CONSTITUCIÓN,SECTOR PANGALILLO KM 3,-35.3566666667,-72.4080555556,10,4,UHF/FM,434.575,439.575,123,REGIÓN DEL MAULE,07-11-2024,07-11-2029,,,,,,,,
CE4CC RPT-B,RADIO CLUB CONSTITUCION,CONSTITUCIÓN,CERRO MUTRUN,-35.3227777778,-72.4125,25,6,VHF/FM,146.910,146.310,123,REGIÓN DEL MAULE,06-03-2025,06-03-2030,,,,,,,,
CE5CO RPT-A,RADIO CLUB CORONEL,CORONEL,CERRO ESCUADRÓN,-36.9555555556,-73.1208333333,25,7,VHF/FM,146.685,146.085,51,REGIÓN DEL BIOBÍO,05-05-2023,30-03-2028,,,,,,,,
CE5CO RPT-B,RADIO CLUB CORONEL,CORONEL,CERRO QUETRA,-37.0577777778,-73.0933333333,25,7,VHF/FM,146.020,146.620,51,REGIÓN DEL BIOBÍO,02-06-2023,30-03-2028,,,,,,,,
CE3AA RPT-K,RADIO CLUB DE CHILE,MAIPÚ,CERRO LO AGUIRRE,-33.4636111111,-70.8329166667,10,6,UHF/FM,433.275,438.275,123,REGIÓN METROPOLITANA DE SANTIAGO,04-10-2024,04-10-2029,,,,,,,,https://www.ce3aa.cl/
CE3AA RPT-F,RADIO CLUB DE CHILE,LAMPA,CERRO CHICAUMA,-33.1841666667,-70.9772222222,10,6,UHF/FM,433.375,438.375,123,REGIÓN METROPOLITANA DE SANTIAGO,23-09-2022,23-09-2027,,,,,,,,https://www.ce3aa.cl/
CE3AA RPT-G,RADIO CLUB DE CHILE,LAMPA,BRIDGE,-33.1841666667,-70.9772222222,10,6,VHF/FM,224.380,222.780,123,REGIÓN METROPOLITANA DE SANTIAGO,23-09-2022,23-09-2027,,,,,,,,https://www.ce3aa.cl/
CE3AA,RADIO CLUB DE CHILE,LAMPA,CERRO CHICAUMA,-33.1841666667,-70.9772222222,10,6,VHF/FM,147.360,147.960,123,REGIÓN METROPOLITANA DE SANTIAGO,,,,,,,,,,https://www.ce3aa.cl/
CE3AA RPT-DMR,RADIO CLUB DE CHILE — DMR Chicauma,LAMPA,CERRO CHICAUMA,-33.1841666667,-70.9772222222,10,6,VHF/DMR,146.640,146.040,,REGIÓN METROPOLITANA DE SANTIAGO,,,,,1,,1,,,https://www.ce3aa.cl/
CE2AA RPT-L,RADIO CLUB DE CHILE,LAMPA,CERRO CHICAUMA,-33.1841666667,-70.9772222222,10,6,UHF/FM,433.750,438.750,123,REGIÓN METROPOLITANA DE SANTIAGO,04-10-2024,04-10-2029,,,,,,,,https://www.ce3aa.cl/
CE5JA RPT-B,RADIO CLUB DE CONCEPCION,TALCAHUANO,R.B. NAVAL DE TALCAHUANO,-36.6916666667,-73.1086111111,25,8,VHF/FM,147.000,146.400,186.2,REGIÓN DEL BIOBÍO,17-09-2025,17-09-2030,,,,,,,,https://www.ce5ja.cl
CE5JA RPT-C,RADIO CLUB DE CONCEPCION,TALCAHUANO,PENINSULA DE TUMBES,-36.7030555556,-73.12,25,8,VHF/FM,146.850,146.250,192.8,REGIÓN DEL BIOBÍO,17-09-2025,17-09-2030,,,,,,,,https://www.ce5ja.cl
CE6RLA RPT-B,RADIO CLUB DE LA ARAUCANIA,PADRE LAS CASAS,CERRO HUENCHULEO,-38.7958333333,-72.5472222222,10,7,UHF/FM,433.400,438.400,123,REGIÓN DE LA ARAUCANÍA,31-08-2021,31-08-2026,,,,,,,,https://radioclubdelaaraucania.cl/
CE6RLA RPT-C,RADIO CLUB DE LA ARAUCANIA,PUCÓN,CAMINO SUBIDA AL VOLCAN VILLARRICA,-39.3916666667,-71.9605555556,10,6,VHF/FM,147.000,146.400,123,REGIÓN DE LA ARAUCANÍA,31-08-2021,31-08-2026,,,,,,,,https://radioclubdelaaraucania.cl/
CE6RLA RPT-D,RADIO CLUB DE LA ARAUCANIA,PADRE LAS CASAS,"CERRO HUENCHULEO, SECTOR TRUF TRUF A 6 KMS AL S/E DE TEMUCO",-38.7958333333,-72.5472222222,50,6,VHF/FM,146.730,146.130,123,REGIÓN DE LA ARAUCANÍA,03-02-2022,20-05-2026,,,,,,,,https://radioclubdelaaraucania.cl/
CE6RLA RPT-A,RADIO CLUB DE LA ARAUCANIA,PADRE LAS CASAS,CERRO HUENCHULEO,-38.7958333333,-72.5472222222,25,6,VHF/FM,146.670,146.070,123,REGIÓN DE LA ARAUCANÍA,31-08-2021,31-08-2026,,,,,,,,https://radioclubdelaaraucania.cl/
CE2LS RPT-J,RADIO CLUB DE LA SERENA,LA SERENA,CERRO GRANDE,-29.9388888889,-71.2233333333,20,7,UHF/FM,434.000,439.000,100,REGIÓN DE COQUIMBO,18-07-2024,18-07-2029,,,,,,,,https://www.ce2ls.cl/
CE2LS RPT-C,RADIO CLUB DE LA SERENA,ANDACOLLO,CERRO EL TORO,-30.2522222222,-71.1394444444,25,7,VHF/FM,147.000,146.400,100,REGIÓN DE COQUIMBO,18-07-2024,18-07-2029,,,,,,,,https://www.ce2ls.cl/
CE2LS RPT-D,RADIO CLUB DE LA SERENA,COQUIMBO,CERRO MINA DE ORO,-30.045,-71.3383333333,15,7,VHF/FM,146.610,146.010,100,REGIÓN DE COQUIMBO,18-07-2024,18-07-2029,,,,,,,,https://www.ce2ls.cl/
CE2LS RPT-I,RADIO CLUB DE LA SERENA,COQUIMBO,CERRO TOTORALILLO,-30.0472222222,-71.3575,25,7,VHF/FM,146.820,146.220,100,REGIÓN DE COQUIMBO,18-07-2024,18-07-2029,,,,,,,,https://www.ce2ls.cl/
CE2LS RPT-G,RADIO CLUB DE LA SERENA,DIEGO DE ALMAGRO,CERRO EL SALADO,-26.3822222222,-70.2822222222,25,7,VHF/FM,147.270,147.870,100,REGIÓN DE ATACAMA,18-07-2024,18-07-2029,,,,,,,,https://www.ce2ls.cl/
CE2LS RPT-H,RADIO CLUB DE LA SERENA,LOS VILOS,LOS VILOS,-31.9113888889,-71.4958333333,25,7,VHF/FM,146.910,146.310,100,REGIÓN DE COQUIMBO,18-07-2024,18-07-2029,,,,,,,,https://www.ce2ls.cl/
CE2LS RPT-F,RADIO CLUB DE LA SERENA,VALLENAR,OBSERVATORIO LAS CAMPANAS,-29.0069444444,-70.7047222222,25,7,VHF/FM,146.670,146.070,100,REGIÓN DE ATACAMA,18-07-2024,18-07-2029,,,,,,,,https://www.ce2ls.cl/
CE2LS RPT-E,RADIO CLUB DE LA SERENA,CANELA,CERRO CATAUHECHE,-31.2880555556,-71.3827777778,25,7,VHF/FM,146.850,146.250,100,REGIÓN DE COQUIMBO,18-07-2024,18-07-2029,,,,,,,,https://www.ce2ls.cl/
CE2LS RPT-B,RADIO CLUB DE LA SERENA,LA HIGUERA,CERRO EL CARBON,-29.5336111111,-71.1427777778,25,7,VHF/FM,147.390,147.990,100,REGIÓN DE COQUIMBO,18-07-2024,18-07-2029,,,,,,,,https://www.ce2ls.cl/
CE2LS RPT-A,RADIO CLUB DE LA SERENA,PAIHUANO,CERRO LAS MOLLACAS,-30.035,-70.5636111111,25,7,VHF/FM,147.030,147.630,100,REGIÓN DE COQUIMBO,18-07-2024,18-07-2029,,,,,,,,https://www.ce2ls.cl/
CE6RCR RPT-A,RADIO CLUB DE LOS RIOS,VALDIVIA,"C° FILÚN, CUESTA DE SOTO, HUELLELHUE - LOTE A",-39.8142,-73.2459,25,6,VHF/FM,146.820,146.220,88.5,REGIÓN DE LOS RÍOS,20-10-2025,20-10-2030,,,,,,,,https://www.ce6rcr.cl/
CE4CNU RPT-F,RADIO CLUB DE ÑUBLE,NINHUE,CERRO COIQUEN,-36.3163888889,-72.4711111111,25,6,VHF/FM,146.910,146.310,123,REGIÓN DE NUBLE,23-10-2023,23-10-2028,,,,,,,,
CE4CNU RPT-B,RADIO CLUB DE ÑUBLE,TOMÉ,CERRO NEUQUE,-36.5666666667,-72.9,25,6,VHF/FM,147.090,147.690,123,REGIÓN DEL BIOBÍO,15-09-2023,06-07-2028,,,,,,,,
CE4CNU RPT-E,RADIO CLUB DE ÑUBLE,PENCAHUE,CERRO PIGUCHEN,-35.15,-71.7666666667,25,6,VHF/FM,147.120,147.720,123,REGIÓN DEL MAULE,07-03-2024,06-07-2028,,,,,,,,
CE4CNU RPT-A,RADIO CLUB DE ÑUBLE,NINHUE,CERRO COIQUEN,-36.3163888889,-72.4711111111,25,6,VHF/FM,146.760,146.160,123,REGIÓN DE NUBLE,15-09-2023,06-07-2028,,,,,,,,
CE6CNU RPT-D,RADIO CLUB DE ÑUBLE,ANGOL,CERRO PELAO,-37.8386111111,-72.8547222222,25,6,VHF/FM,147.330,147.930,123,REGIÓN DE LA ARAUCANÍA,10-10-2023,06-07-2028,,,,,,,,
CE4CNU RPT-C,RADIO CLUB DE ÑUBLE,PINTO,CERRO LOS COLTRAHUES,-36.9252777778,-71.4836111111,25,6,VHF/FM,146.730,146.130,123,REGIÓN DE NUBLE,07-03-2024,06-07-2028,,,,,,,,
CE4SCL RPT-A,RADIO CLUB DE SAN CARLOS,SAN CARLOS,CERRO VALLE EL VALIENTE,-36.5080555556,-71.5288888889,25,7,VHF/FM,147.270,147.870,123,REGIÓN DEL BIOBÍO,04-08-2025,04-08-2030,,,,,,,,
CE5BIO RPT-A,RADIO CLUB DEL BIO BIO,PEMUCO,SECTOR COREA PEMUCO,-37.0228694444,-71.705875,25,6,VHF/FM,147.240,147.840,123,REGIÓN DE NUBLE,10-02-2025,10-02-2030,1,,,,,,,https://www.ce5bio.cl/
CE3BIO RPT-B,RADIO CLUB DEL BIO BIO,PEMUCO,SECTOR COREA PEMUCO,-37.0228694444,-71.7067083333,10,6,UHF/FM,433.800,438.800,123,REGIÓN DE NUBLE,10-02-2025,10-02-2030,,,,,,,,https://www.ce5bio.cl/
CE1DDA RPT-A,RADIO CLUB DESIERTO ATACAMA,COPIAPÓ,COPIAPO,-27.4065358333,-70.3999961111,7,3,VHF/FM,147.900,147.300,77,REGIÓN DE ATACAMA,02-08-2023,26-04-2028,,,,,,,,
CE1LOA RPT-C,RADIO CLUB EL LOA,CALAMA,CERRO LIMÓN VERDE,-22.7583333333,-68.9911111111,10,6,VHF/FM,146.700,146.100,88.5,REGIÓN DE ANTOFAGASTA,17-03-2023,29-12-2027,,,,,,,,
CE1LOA RPT-B,RADIO CLUB EL LOA,CALAMA,CERRO MONTECARLOS,-22.3263888889,-68.9916666667,10,6,VHF/FM,147.180,147.780,,REGIÓN DE ANTOFAGASTA,17-03-2023,29-12-2027,,,,,,,,
CE1LOA RPT-A,RADIO CLUB EL LOA,CALAMA,CERRO LIMON VERDE,-22.7583333333,-68.9911111111,10,6,VHF/FM,146.700,146.100,88.5,REGIÓN DE ANTOFAGASTA,17-03-2023,29-12-2027,,,,,,,,
CE1ESV RPT-B,RADIO CLUB EL SALVADOR,DIEGO DE ALMAGRO,LLANO DE BORAX CORDILLERA DE DOMEYCO,-26.3082777778,-69.2823333333,12,12,VHF/FM,146.610,146.010,88.5,REGIÓN DE ATACAMA,19-02-2025,19-02-2030,,,,,,,,
CE1ESV RPT-C,RADIO CLUB EL SALVADOR,DIEGO DE ALMAGRO,CERRO CONTRERAS EL SALVADOR,-26.3519444444,-69.5652777778,8,6.5,VHF/FM,147.330,147.930,88.5,REGIÓN DE ATACAMA,19-02-2025,19-02-2030,,,,,,,,
CE2ESV RPT-A,RADIO CLUB EL SALVADOR,DIEGO DE ALMAGRO,CERRO EL SALADO,-26.3780555556,-70.2802777778,8,6,VHF/FM,147.390,147.990,79.7,REGIÓN DE ATACAMA,19-02-2025,19-02-2030,,,,,,,,
CE4BZI RPT-A,RADIO CLUB GASTON SAEZ RONDANELLI,SAN JAVIER,CERRO GUPO,-35.6680555556,-71.9152777778,25,6,VHF/FM,146.700,146.100,123,REGIÓN DEL MAULE,02-08-2023,02-08-2028,,,,,,,,https://www.qrz.com/db/CE4BZI
CE6BZI RPT-C,RADIO CLUB GASTON SAEZ RONDANELLI,LA UNIÓN,CERRO MIRADOR,-40.1666666667,-73.4666666667,25,6,VHF/FM,146.790,146.190,123,REGIÓN DE LOS RÍOS,02-08-2023,02-08-2028,,,,,,,,https://www.qrz.com/db/CE4BZI
CE4BZI RPT-E,RADIO CLUB GASTON SAEZ RONDANELLI,TENO,CERRO CHIVATO,-34.8291666667,-71.2264444444,25,6,VHF/FM,147.180,147.780,123,REGIÓN DEL MAULE,02-08-2023,02-08-2028,,,,,,,,https://www.qrz.com/db/CE4BZI
CE2GVM RPT-A,RADIO CLUB GAVIOTAS,VALPARAÍSO,CERRO COLORADO. RECINTO ARMADA DE CHILE. CAMINO LA POLVORA,-33.0819444444,-71.6169444444,15,6.7,VHF/FM,147.180,147.780,85.4,REGIÓN DE VALPARAÍSO,10-09-2024,10-09-2029,,,,,,,,
CE1RLP RPT-D,RADIO CLUB LA PORTADA,ANTOFAGASTA,CERRO LOS MORROS,-23.4663888889,-70.5633333333,10,6,UHF/FM,434.000,439.000,85.4,REGIÓN DE ANTOFAGASTA,20-02-2024,18-01-2029,,,,,,,,https://www.ce1rlp.cl/
CE1RLP RPT-A,RADIO CLUB LA PORTADA,ANTOFAGASTA,CERRO LOS MORROS,-23.4663888889,-70.5633333333,10,7,VHF/FM,147.300,147.900,85.4,REGIÓN DE ANTOFAGASTA,20-02-2024,18-01-2029,,,,,,,,https://www.ce1rlp.cl/
CE1RLP RPT-E,RADIO CLUB LA PORTADA,ANTOFAGASTA,CERRO ZALDIVAR,-24.1708333333,-69.0825,10,7,VHF/FM,147.240,147.840,110.9,REGIÓN DE ANTOFAGASTA,20-02-2024,18-01-2029,,,,,,,,https://www.ce1rlp.cl/
CE1RLP RPT-C,RADIO CLUB LA PORTADA,TALTAL,CERRO PERALES,-25.4166666667,-70.4166666667,10,7,VHF/FM,146.640,146.040,110.9,REGIÓN DE ANTOFAGASTA,26-09-2024,18-01-2029,,,,,,,,https://www.ce1rlp.cl/
CE1RLP RPT-K,RADIO CLUB LA PORTADA,SAN PEDRO DE ATACAMA,CERRO BARROS ARANA,-22.6945361111,-68.400325,15,6.7,VHF/FM,147.150,147.750,110.9,REGIÓN DE ANTOFAGASTA,20-02-2024,18-01-2029,,,,,,,,https://www.ce1rlp.cl/
CE1RLP RPT-G,RADIO CLUB LA PORTADA,CALAMA,CERRO LIMÓN VERDE,-22.7525,-68.9958333333,15,6.7,VHF/FM,146.850,146.250,85.4,REGIÓN DE ANTOFAGASTA,20-02-2024,18-01-2029,,,,,,,,https://www.ce1rlp.cl/
CE1RLP RPT-F,RADIO CLUB LA PORTADA,TOCOPILLA,CERRO EL TOLAR,-21.9672222222,-70.1,15,6.7,VHF/FM,147.030,147.630,110.9,REGIÓN DE ANTOFAGASTA,20-02-2024,18-01-2029,,,,,,,,https://www.ce1rlp.cl/
CE1RLP RPT-B,RADIO CLUB LA PORTADA,TALTAL,SIERRA VICUÑA MACKENNA,-24.45,-70.0497222222,10,7,VHF/FM,147.000,146.400,110.9,REGIÓN DE ANTOFAGASTA,26-09-2024,18-01-2029,,,,,,,,https://www.ce1rlp.cl/
CE6RLU RPT-A,RADIO CLUB LA UNION,LA UNIÓN,FUNDO SAN CARLOS,-40.2936,-73.0819,25,9,VHF/FM,147.390,147.990,203.5,REGIÓN DE LOS RÍOS,02-08-2023,02-08-2028,,,,,,,,
CE5RCL RPT-A,RADIO CLUB LEBU,LEBU,"FUNDO EL DIEZMO S/N, LEBU",-37.6308333333,-73.6536111111,5,9,VHF/FM,147.150,147.750,,REGIÓN DEL BIOBÍO,26-10-2022,23-11-2025,,,,,,,,
CE4LY RPT-A,RADIO CLUB LIRCAY,TALCA,VILLA ECUADOR 22 SUR 4 1/2 PTE,-35.4433333333,-71.6780555556,50,9,VHF/FM,146.380,146.980,67,REGIÓN DEL MAULE,19-12-2023,03-08-2028,,,,,,,,
